day,level,filename,title,prompt
1,1,img_day1.png,Leo's Big Day,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo has a cat. Her name is Nala. Nala is small and white."
2,1,img_day2.png,Mimi's Garden Walk,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi loves her garden. Every morning, she runs outside to look at her flowers. Today, she sees a tall tree near the gate."
3,1,img_day3.png,Sam's Farm Day,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Sam lives on a farm. Every morning, he likes to walk and see his animals. He has one big cow, one brown horse, and three white sheep."
4,1,img_day4.png,Duck at the Pond,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Near Leo's house, there is a pond. A yellow duck lives there. The duck can swim fast in the water."
5,1,img_day5.png,Amy and the Butterfly,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Amy is Mimi's little sister. One day, she sees a butterfly in the garden. A butterfly is an insect."
6,1,img_day6.png,River Friends,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo walks to the river one morning. He sees a green frog on a big rock. The frog can jump very far."
7,1,img_day7.png,Week 1 Review!,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: a group of cheerful children celebrating finishing a week of learning together, clapping and giving high-fives in a bright open space with balloons and paper stars"
8,1,img_day8.png,Leo's Big Breakfast,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Leo wakes up early. He is very hungry. He sees bread on the table."
9,1,img_day9.png,Leo's Tasty Lunch,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: It is lunchtime. Leo is very hungry. He sees a bowl of rice and a warm soup on the table."
10,1,img_day10.png,Mimi's Banana Cake,"Children's educational storybook illustration for Thai families. Warm cream background (#FFF8EF), never pure white. Soft rounded shapes, no sharp corners. Cute expressive semi-realistic characters — Thai/Southeast-Asian children, actively doing the action (speaking, pointing, reaching, playing), never posing for the camera. Gentle warm lighting. Palette: deep navy (#14204A) for outlines and dark areas, mango yellow (#FFB020) as the single eye-catching accent, coral (#FF6B5A) and mint green (#12B886) as small touches only. Large pale circles (12-16% opacity) in the background instead of patterns or gradients. ABSOLUTELY NO text, letters, words, numbers or signage anywhere in the image. 800x400 landscape banner, digital art, for ages 5-12. SCENE: Mimi is hungry after school. She wants to make a banana cake. She takes three bananas and starts to cook."
